Date,Infected,Recovered,Death,Vaccinated
2020-03-03,1,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,1,0,0,0
2020-03-08,0,0,0,0
2020-03-09,2,0,0,0
2020-03-10,7,0,0,0
2020-03-11,7,0,0,0
2020-03-12,7,0,0,0
2020-03-13,16,0,0,0
2020-03-14,10,0,0,0
2020-03-15,7,0,0,0
2020-03-16,28,0,0,0
2020-03-17,33,0,0,0
2020-03-18,43,0,0,0
2020-03-19,77,0,1,0
2020-03-20,44,0,0,0
2020-03-21,35,0,1,0
2020-03-22,33,0,0,0
2020-03-23,60,1,1,0
2020-03-24,72,1,1,0
2020-03-25,83,1,0,0
2020-03-26,69,1,1,0
2020-03-27,71,2,0,0
2020-03-28,52,2,0,0
2020-03-29,28,4,2,0
2020-03-30,58,11,0,0
2020-03-31,54,18,2,0
2020-04-01,92,25,3,0
2020-04-02,68,41,0,0
2020-04-03,72,51,1,0
2020-04-04,33,58,3,0
2020-04-05,37,86,6,0
2020-04-06,49,119,0,0
2020-04-07,70,162,1,0
2020-04-08,65,239,3,0
2020-04-09,49,282,2,0
2020-04-10,31,315,4,0
2020-04-11,19,348,5,0
2020-04-12,37,405,5,0
2020-04-13,39,476,3,0
2020-04-14,38,555,6,0
2020-04-15,75,621,6,0
2020-04-16,46,688,1,0
2020-04-17,45,740,3,0
2020-04-18,17,767,4,0
2020-04-19,38,823,4,0
2020-04-20,53,873,1,0
2020-04-21,66,961,6,0
2020-04-22,51,1026,3,0
2020-04-23,64,1094,7,0
2020-04-24,27,1125,2,0
2020-04-25,25,1156,2,0
2020-04-26,30,1201,4,0
2020-04-27,61,1263,3,0
2020-04-28,60,1325,3,0
2020-04-29,54,1365,3,0
2020-04-30,26,1393,4,0
2020-05-01,14,1406,1,0
2020-05-02,12,1439,4,0
2020-05-03,27,1470,2,0
2020-05-04,30,1504,3,0
2020-05-05,31,1577,5,0
2020-05-06,62,1620,3,0
2020-05-07,29,1661,3,0
2020-05-08,28,1678,0,0
2020-05-09,20,1709,4,0
2020-05-10,16,1759,3,0
2020-05-11,24,1821,6,0
2020-05-12,26,1870,4,0
2020-05-13,28,1932,1,0
2020-05-14,21,1958,3,0
2020-05-15,22,1979,3,0
2020-05-16,13,2007,0,0
2020-05-17,15,2062,2,0
2020-05-18,15,2116,4,0
2020-05-19,34,2163,1,0
2020-05-20,12,2188,1,0
2020-05-21,21,2201,0,0
2020-05-22,17,2209,1,0
2020-05-23,11,2234,2,0
2020-05-24,16,2263,2,0
2020-05-25,35,2291,0,0
2020-05-26,28,2347,1,0
2020-05-27,40,2375,0,0
2020-05-28,13,2402,4,0
2020-05-29,19,2421,1,0
2020-05-30,5,2437,3,0
